method,M,mean_sup_err
lepski,1000,0.19075366934850718
lepski,2000,0.2697257533704883
lepski,4000,0.21129561301177385
oracle,1000,0.1438550213110326
oracle,2000,0.13278200173027507
oracle,4000,0.11759649951746012
