method,M,mean_ise
lepski,1000,0.48513307471916034
lepski,2000,0.749412680335811
lepski,4000,0.9944634587021495
oracle,1000,0.21873108893597992
oracle,2000,0.2446733815434426
oracle,4000,0.17064891366612117
