method,M,mean_sup_err
lepski,1000,0.4671709987603557
lepski,2000,0.6613035374388601
lepski,4000,0.8323840838202535
oracle,1000,0.2019591727258375
oracle,2000,0.22784616798975707
oracle,4000,0.1466773747220709
