method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.5473572779142499,2.4676146212291883,0.0,0.2884190414218265,0.3044538791180273
lepski,2000,0.4194299240492,3.786156117510836,0.0,0.2904832777202647,0.24689898828446605
lepski,4000,0.38516303078235004,6.95522461039248,0.05,0.27778001277069897,0.2843589208565406
oracle,1000,0.2488674240492,1.0,0.05,0.3005719059343504,0.29166628836299974
oracle,2000,0.2525825214725,1.0,0.0,0.3053677805300955,0.2886335125739778
oracle,4000,0.19900842119635,1.0,0.0,0.29020899935672595,0.29972923879246954
