method,M,mean_ise
lepski,1000,0.6589439385163105
lepski,2000,0.5536370601904316
lepski,4000,0.49337619813794575
oracle,1000,0.596096391131886
oracle,2000,0.5496502479520934
oracle,4000,0.39043301529155483
