label,model_id,run_tag,Cavg,Cmax,Q95max,BoundaryAvg,E_M_E_hstar,E_M_E_hhat
GG1,gg_1d,gg_1d_adapt_floor_confirm81_20260417_190520,1.77361327505211,2.109796145024992,4.486377225900919,0.0,0.257124940312975,0.38192156358299
GG2,gg_2d,gg_2d_adapt_floor_confirm81_20260417_190520,1.314465071112859,1.4313118610950366,2.6171701780981698,0.0,0.382622999447575,0.3830787334971
MM1,mm_1d,mm_1d_adapt_floor_confirm81_20260417_190520,1.9601752341801044,2.175424149807612,5.534685611531323,0.01,0.24325152039887002,0.33542826272408505
MM2,mm_2d,mm_2d_adapt_floor_confirm81_20260417_190520,1.4857404391163116,1.6863084112605926,3.084022303129214,0.0125,0.41331228255319996,0.43557873349709997
