method,M,mean_ise
lepski,1000,0.6792011709537014
lepski,2000,0.5602648960281489
lepski,4000,0.5590378069704407
oracle,1000,0.5654625299197631
oracle,2000,0.49286664220397813
oracle,4000,0.38661872073393816
