method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.4234188309204,1.4064898710883666,0.0,0.38571638272652076,0.006513597548307418
lepski,2000,0.3645952377916,2.0375570693388956,0.0,0.39221632904220594,0.007239115063888545
lepski,4000,0.2981155300615,2.0449096832110643,0.0,0.4002021231128497,0.006808413752296123
oracle,1000,0.324099025767,1.0,0.0,0.39261408588943286,0.0061689485016256165
oracle,2000,0.28269960742345,1.0,0.0,0.38416388477404334,0.0065892046602091265
oracle,4000,0.2210844154602,1.0,0.0,0.3952948320704669,0.006430423329813214
