M,mean_Z,var_Z,coverage_95,mean_sigma_hat,mean_h
1000,-0.018918265817115854,1.505973625795268,88.0,10.154793949041451,0.19054607179632474
2000,-0.2459363279713212,1.253603475094344,92.0,10.428877761274986,0.16134399308263153
4000,-0.13898102472828938,0.8144344076255862,98.0,10.72886800634714,0.13661726982057024
8000,-0.10206605373526344,0.8849746501236676,96.0,10.45265431464063,0.11568003280833442
