method,M,mean_ise
lepski,1000,1.073578128890952
lepski,2000,0.8037839088838907
lepski,4000,0.5245438974099065
oracle,1000,0.7469576069155589
oracle,2000,0.5114215241010187
oracle,4000,0.39454712596786673
