method,M,mean_ise
lepski,1000,0.48089774203766933
lepski,2000,0.8779320119699777
lepski,4000,1.0480332535986165
oracle,1000,0.21873108893597992
oracle,2000,0.2446733815434426
oracle,4000,0.17064891366612117
