method,M,mean_sup_err
lepski,1000,0.4079660549158531
lepski,2000,0.722598322231516
lepski,4000,0.8688190894014228
oracle,1000,0.2019591727258375
oracle,2000,0.22784616798975707
oracle,4000,0.1466773747220709
