method,metric,slope,intercept,theory_secant,theory_asymptotic
lepski,sup_err,-0.002944003546237314,-1.461257510334359,-0.34722805831679177,-0.4
oracle,sup_err,-0.14538523174004994,-0.9277716589026598,-0.34722805831679177,-0.4
lepski,ise,-0.05998750589689142,-1.1219803158175121,-0.34722805831679177,-0.4
oracle,ise,-0.10975676886996191,-1.249728731239974,-0.34722805831679177,-0.4
