label,paper_oracle_h,paper_adaptive_h,paper_boundary,paper_Cavg,paper_Cmax,baseline_oracle_h,baseline_adaptive_h,baseline_Cavg,baseline_Cmax,floor81_oracle_h,floor81_adaptive_h,floor81_boundary,floor81_Cavg,floor81_Cmax,paper_oracle_matches_baseline,paper_oracle_matches_floor81,paper_adaptive_matches_floor81,paper_boundary_matches_floor81,paper_Cavg_matches_floor81,paper_Cmax_matches_floor81
GG1,0.24276,0.381922,0.0,1.773613,2.109796,0.24276007154609,0.3708756220369699,1.7549569687779327,2.070324946842888,0.257124940312975,0.38192156358299,0.0,1.77361327505211,2.109796145024992,True,False,True,True,True,True
GG2,0.376363,0.383079,0.0,1.314465,1.431312,0.376362583967225,0.3908452377916,1.3462530605690168,1.5107547423022625,0.382622999447575,0.3830787334971,0.0,1.314465071112859,1.4313118610950366,True,False,True,True,True,True
MM1,0.238186,0.335428,0.01,1.960175,2.175424,0.2381862704709549,0.29743839940504,3.406976107056814,5.62842534499608,0.24325152039887,0.335428262724085,0.01,1.9601752341801044,2.175424149807612,True,False,True,True,True,True
MM2,0.398902,0.435579,0.0125,1.48574,1.686308,0.3989016126175499,0.4710710894696375,2.341145111298058,2.711902249392834,0.4133122825531999,0.4355787334970999,0.0125,1.4857404391163116,1.6863084112605926,True,False,True,True,True,True
