testbed,oracle_bandwidth,adaptive_bandwidth,boundary_frequency,Cavg,Cmax,source_run_tag
GG1,0.257124940312975,0.38192156358299,0.0,1.77361327505211,2.109796145024992,gg_1d_adapt_floor_confirm81_20260417_190520
GG2,0.382622999447575,0.3830787334971,0.0,1.314465071112859,1.4313118610950366,gg_2d_adapt_floor_confirm81_20260417_190520
MM1,0.24325152039887,0.335428262724085,0.01,1.9601752341801044,2.175424149807612,mm_1d_adapt_floor_confirm81_20260417_190520
MM2,0.4133122825531999,0.4355787334970999,0.0125,1.4857404391163116,1.6863084112605926,mm_2d_adapt_floor_confirm81_20260417_190520
