method,M,mean_sup_err
lepski,1000,0.300292963224436
lepski,2000,0.30945358157185093
lepski,4000,0.2330355329382936
oracle,1000,0.1438550213110326
oracle,2000,0.13278200173027507
oracle,4000,0.11759649951746012
