method,metric,slope,intercept,theory_secant,theory_asymptotic
lepski,sup_err,-0.18291035837748035,0.11278104327121528,-0.34722805831679177,-0.4
oracle,sup_err,-0.14538523174004994,-0.9277716589026598,-0.34722805831679177,-0.4
lepski,ise,-0.22171393080458368,0.3083908906039627,-0.34722805831679177,-0.4
oracle,ise,-0.10975676886996191,-1.249728731239974,-0.34722805831679177,-0.4
