method,M,mean_ise
lepski,1000,0.27870519269574273
lepski,2000,0.28140988235330544
lepski,4000,0.20495568685827442
oracle,1000,0.13090380574397179
oracle,2000,0.13091625674597002
oracle,4000,0.11242738610334937
