method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.12615929039578,12.256032353455824,0.0,0.24542808372295336,0.1141342687872323
lepski,1500,0.05876051131294,20.138568554901234,0.0,0.2694387810843359,0.06387859379695697
lepski,2000,0.0875967768559,13.796765500696656,0.0,0.25241114901779993,0.10231119425164974
lepski,3000,0.11181057216264,16.89436966256066,0.0,0.26576686297182606,0.13942690388531942
lepski,4000,0.0979514897132,20.291089238681746,0.0,0.23182443609198425,0.13007370082987263
lepski,6000,0.08505937241638,21.029999077114084,0.0,0.2542188758713345,0.13178642968503967
lepski,8000,0.10115166561194,21.881373150347486,0.0,0.27316994921152504,0.1640237030680362
oracle,1000,0.28501260800014,1.0,0.0,0.296390536361749,0.2936695293789531
oracle,1500,0.25738308966879997,1.0,0.0,0.2924871848105157,0.28987667626802827
oracle,2000,0.25507008909214,1.0,0.0,0.3020139203382746,0.27740560295787225
oracle,3000,0.21983073580376,1.0,0.0,0.2990571294476769,0.2977370122434265
oracle,4000,0.22054627964424,1.0,0.0,0.2990844789822592,0.29896941496862367
oracle,6000,0.20629627964421998,1.0,0.0,0.29658763830260115,0.30143001688286125
oracle,8000,0.20809913408596,1.0,0.0,0.29532806200672423,0.3030988414450645
