method,metric,slope,intercept,theory_secant,theory_asymptotic
lepski,sup_err,-0.18444474920148096,2.3658666191059536,-0.34937943676850713,-0.4
oracle,sup_err,-0.3605522366073779,1.0643398862420022,-0.34937943676850713,-0.4
lepski,ise,-0.1907231236009749,2.6470315373486546,-0.34937943676850713,-0.4
oracle,ise,-0.35471820520988967,1.1440245502723279,-0.34937943676850713,-0.4
