method,M,mean_sup_err
lepski,1000,2.6526801897011825
lepski,1500,3.2923766628353928
lepski,2000,2.5443074293823797
lepski,3000,2.1693107555741413
lepski,4000,2.5619609286063394
lepski,6000,2.384035461428843
lepski,8000,1.7902804516655817
oracle,1000,0.23517970407410244
oracle,1500,0.2058071122556999
oracle,2000,0.20963820904383623
oracle,3000,0.1445383888909845
oracle,4000,0.14641175855977057
oracle,6000,0.1288016256344102
oracle,8000,0.11348717916349725
