method,M,mean_sup_err
lepski,1000,0.4375159256694383
lepski,2000,0.7306031370344803
lepski,4000,0.7786587947445108
oracle,1000,0.2019591727258375
oracle,2000,0.22784616798975707
oracle,4000,0.1466773747220709
