method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.2860108223314,2.165258754037892,0.0,0.3026670396526645,0.2496243198290708
lepski,2000,0.24946783665655,3.706144133489817,0.0,0.2964771583079463,0.2203012878874233
lepski,4000,0.24633497348170003,6.447462723996414,0.05,0.27840047929875567,0.2500750887214034
oracle,1000,0.2488674240492,1.0,0.05,0.3005719059343504,0.29166628836299974
oracle,2000,0.2525825214725,1.0,0.0,0.3053677805300955,0.2886335125739778
oracle,4000,0.19900842119635,1.0,0.0,0.29020899935672595,0.29972923879246954
