method,M,mean_ise
lepski,1000,0.48927493866479843
lepski,2000,0.8793129384879957
lepski,4000,0.9353824988043815
oracle,1000,0.21873108893597992
oracle,2000,0.2446733815434426
oracle,4000,0.17064891366612117
