model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,1000,0,3003105692,oracle,0.424264068712,0.1178311469520521,0.10651279767247125,0.3884612273996326,0.005751687249122478,1.0,0
gg_1d,1,1000,0,3003105692,lepski,0.424264068712,0.1178311469520521,0.10651279767247125,0.3884612273996326,0.005751687249122478,1.0,0
gg_1d,1,1000,1,976400780,oracle,0.3,0.07805892533834768,0.11446837971725475,0.36343641854365183,0.00604534671608214,1.0,0
gg_1d,1,1000,1,976400780,lepski,0.075,0.5285051195132588,0.5751797332419752,0.3656252119424982,0.0028447128771739655,6.770591796164818,0
gg_1d,1,1000,2,3387213021,oracle,0.106066017178,0.17279181916850783,0.21151664718484292,0.4634168085253014,0.005264828270490206,1.0,0
gg_1d,1,1000,2,3387213021,lepski,0.3,0.41649057958807045,0.3172050514804011,0.40182791450104943,0.006438093331322748,2.4103605228086975,0
gg_1d,1,1000,3,1360466708,oracle,0.3,0.06503757307916302,0.09568841225534565,0.37116514060213596,0.006779058737465392,1.0,0
gg_1d,1,1000,3,1360466708,lepski,0.212132034356,0.12625719530387602,0.07815625697383197,0.38142812628248346,0.005783760358226148,1.941296228107976,0
gg_1d,1,1000,4,876933080,oracle,0.3,0.35839432431816487,0.16950088389686596,0.33162135569420575,0.006635345981387369,1.0,0
gg_1d,1,1000,4,876933080,lepski,0.212132034356,0.3621621150162131,0.3508038258940898,0.3316946037158831,0.00481007509678041,1.0105129753525433,0
gg_1d,1,1000,5,3424658561,oracle,0.15,0.07528224034492936,0.05180621696358402,0.4200065308648658,0.005837134746254832,1.0,0
gg_1d,1,1000,5,3424658561,lepski,0.6,0.234510211663983,0.27867360444891504,0.38892097038824547,0.007510431083653919,3.1150801382836164,0
gg_1d,1,1000,6,2760304911,oracle,0.6,0.06527423669293109,0.08144986996013902,0.3894300569119741,0.006624735286988686,1.0,0
gg_1d,1,1000,6,2760304911,lepski,0.424264068712,0.11341010636997417,0.1010372894330572,0.4134993108815023,0.005929964269149113,1.7374405602548546,0
gg_1d,1,1000,7,2904491693,oracle,0.3,0.35103425011410616,0.24107135946572744,0.3604334211284041,0.004854211175507637,1.0,0
gg_1d,1,1000,7,2904491693,lepski,0.424264068712,0.38592693808909306,0.23945891165474245,0.36668057917314184,0.005248194096937077,1.0993996681624223,0
gg_1d,1,1000,8,4245388044,oracle,0.3,0.3089064912383366,0.25803093598293175,0.3976251689424403,0.0070011521289271685,1.0,0
gg_1d,1,1000,8,4245388044,lepski,0.424264068712,0.38979054379285394,0.3565232967480227,0.40135549632098955,0.007595950918117891,1.2618399251834151,0
gg_1d,1,1000,9,1679802727,oracle,0.424264068712,0.1218109201580777,0.1444257987246972,0.36047713117693514,0.005903365755280725,1.0,0
gg_1d,1,1000,9,1679802727,lepski,0.053033008589,0.657688380618449,0.7011035288899271,0.3501985732185401,0.0024031849550819233,5.399256320902485,0
