model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
gg_1d,1,1000,0,3003105692,0.02,0.45340351945675916,0.5415985607920668,0.3556007457090253,0.0030625196796609895
gg_1d,1,1000,0,3003105692,0.026516504294,0.20797323039377336,0.2265043163770604,0.37043187018346885,0.004612381095411227
gg_1d,1,1000,0,3003105692,0.0375,0.23954138702366468,0.15171012099065306,0.41273788750070534,0.005277569103110059
gg_1d,1,1000,0,3003105692,0.053033008589,0.29175190597811707,0.17717137259047094,0.406235179701219,0.005169741348040143
gg_1d,1,1000,0,3003105692,0.075,0.36271916903386625,0.269004252142904,0.40493563183911313,0.004561611512023306
gg_1d,1,1000,0,3003105692,0.106066017178,0.3493107324521878,0.27597673855025406,0.40471131865224524,0.004433536462802041
gg_1d,1,1000,0,3003105692,0.15,0.28907131562334065,0.23630561231189506,0.4079227411312944,0.004613094832018862
gg_1d,1,1000,0,3003105692,0.212132034356,0.25326320230283716,0.19152226733459488,0.40418464905945206,0.0048607126502204405
gg_1d,1,1000,0,3003105692,0.3,0.1893999150058221,0.15779644634846934,0.38984350516452976,0.005113724855199049
gg_1d,1,1000,0,3003105692,0.424264068712,0.1178311469520521,0.10651279767247125,0.3884612273996326,0.005751687249122478
gg_1d,1,1000,0,3003105692,0.6,0.34564728268838074,0.3037397303750049,0.3811688559188102,0.008496481591980505
gg_1d,1,1000,0,3003105692,0.848528137424,0.5407584050024363,0.5451983994979557,0.36325840525326347,0.011295334399705122
gg_1d,1,1000,0,3003105692,1.2,0.8788389642802379,1.0650524305234996,0.3435018231072555,0.018116320998777646
gg_1d,1,1000,1,976400780,0.02,1.1954522252471058,1.1008934117284015,0.3931568979718819,0.0014249930343796398
gg_1d,1,1000,1,976400780,0.026516504294,1.1108865838724782,1.026662412533537,0.3995676002028203,0.001569761386836353
gg_1d,1,1000,1,976400780,0.0375,0.9143227071984921,0.8559288519752268,0.4114493140555146,0.001966626059383144
gg_1d,1,1000,1,976400780,0.053033008589,0.8912583608808324,0.8390449808706651,0.378306373702788,0.002010442877464063
gg_1d,1,1000,1,976400780,0.075,0.5285051195132588,0.5751797332419752,0.3656252119424982,0.0028447128771739655
gg_1d,1,1000,1,976400780,0.106066017178,0.1711122373858993,0.2555115326347312,0.3759631147109049,0.004404525400081677
gg_1d,1,1000,1,976400780,0.15,0.12895117733792094,0.19445345713446013,0.3755734001344515,0.004968468322618813
gg_1d,1,1000,1,976400780,0.212132034356,0.10404859235299141,0.15314562085398778,0.36418022315895066,0.0054853523986887085
gg_1d,1,1000,1,976400780,0.3,0.07805892533834768,0.11446837971725475,0.36343641854365183,0.00604534671608214
gg_1d,1,1000,1,976400780,0.424264068712,0.22263616018310595,0.23173124896143188,0.3737212499308303,0.006794290792784303
gg_1d,1,1000,1,976400780,0.6,0.44031234207944303,0.42726054259139595,0.37281275297386596,0.007455072267843698
gg_1d,1,1000,1,976400780,0.848528137424,0.6717652383002988,0.6824186524040534,0.3675793084819218,0.00892807930937375
gg_1d,1,1000,1,976400780,1.2,0.8935359087708639,1.0995293139177689,0.34473908173042533,0.0144409539456843
gg_1d,1,1000,2,3387213021,0.02,0.7779533323622791,0.7559434668342624,0.3898998125597946,0.0033715955937020318
gg_1d,1,1000,2,3387213021,0.026516504294,0.74188760831104,0.5887437368708899,0.4650529784330971,0.0033727151987632156
gg_1d,1,1000,2,3387213021,0.0375,0.7498849893075779,0.5760421429853451,0.505245478294141,0.0031060268247906243
gg_1d,1,1000,2,3387213021,0.053033008589,0.7506888674779777,0.5676104750282763,0.5077819985249294,0.0030686471585155226
gg_1d,1,1000,2,3387213021,0.075,0.6724234724362468,0.5236926889108467,0.4873137264941358,0.0033308955225648945
gg_1d,1,1000,2,3387213021,0.106066017178,0.17279181916850783,0.21151664718484292,0.4634168085253014,0.005264828270490206
gg_1d,1,1000,2,3387213021,0.15,0.31995364588448005,0.26382922573836626,0.44004737245180925,0.006200985131999435
gg_1d,1,1000,2,3387213021,0.212132034356,0.40169771098615437,0.2999313455012852,0.42587274731029257,0.006438444757044775
gg_1d,1,1000,2,3387213021,0.3,0.41649057958807045,0.3172050514804011,0.40182791450104943,0.006438093331322748
