model_id,dim,M,rep,seed,h,ise
gg_1d,1,1000,0,3003105692,0.02,0.5415985607920668
gg_1d,1,1000,0,3003105692,0.026516504294,0.2265043163770604
gg_1d,1,1000,0,3003105692,0.0375,0.15171012099065306
gg_1d,1,1000,0,3003105692,0.053033008589,0.17717137259047094
gg_1d,1,1000,0,3003105692,0.075,0.269004252142904
gg_1d,1,1000,0,3003105692,0.106066017178,0.27597673855025406
gg_1d,1,1000,0,3003105692,0.15,0.23630561231189506
gg_1d,1,1000,0,3003105692,0.212132034356,0.19152226733459488
gg_1d,1,1000,0,3003105692,0.3,0.15779644634846934
gg_1d,1,1000,0,3003105692,0.424264068712,0.10651279767247125
gg_1d,1,1000,0,3003105692,0.6,0.3037397303750049
gg_1d,1,1000,0,3003105692,0.848528137424,0.5451983994979557
gg_1d,1,1000,0,3003105692,1.2,1.0650524305234996
gg_1d,1,1000,1,976400780,0.02,1.1008934117284015
gg_1d,1,1000,1,976400780,0.026516504294,1.026662412533537
gg_1d,1,1000,1,976400780,0.0375,0.8559288519752268
gg_1d,1,1000,1,976400780,0.053033008589,0.8390449808706651
gg_1d,1,1000,1,976400780,0.075,0.5751797332419752
gg_1d,1,1000,1,976400780,0.106066017178,0.2555115326347312
gg_1d,1,1000,1,976400780,0.15,0.19445345713446013
gg_1d,1,1000,1,976400780,0.212132034356,0.15314562085398778
gg_1d,1,1000,1,976400780,0.3,0.11446837971725475
gg_1d,1,1000,1,976400780,0.424264068712,0.23173124896143188
gg_1d,1,1000,1,976400780,0.6,0.42726054259139595
gg_1d,1,1000,1,976400780,0.848528137424,0.6824186524040534
gg_1d,1,1000,1,976400780,1.2,1.0995293139177689
gg_1d,1,1000,2,3387213021,0.02,0.7559434668342624
gg_1d,1,1000,2,3387213021,0.026516504294,0.5887437368708899
gg_1d,1,1000,2,3387213021,0.0375,0.5760421429853451
gg_1d,1,1000,2,3387213021,0.053033008589,0.5676104750282763
gg_1d,1,1000,2,3387213021,0.075,0.5236926889108467
gg_1d,1,1000,2,3387213021,0.106066017178,0.21151664718484292
gg_1d,1,1000,2,3387213021,0.15,0.26382922573836626
gg_1d,1,1000,2,3387213021,0.212132034356,0.2999313455012852
gg_1d,1,1000,2,3387213021,0.3,0.3172050514804011
gg_1d,1,1000,2,3387213021,0.424264068712,0.35866977152305274
gg_1d,1,1000,2,3387213021,0.6,0.4644247572275412
gg_1d,1,1000,2,3387213021,0.848528137424,0.722076705048094
gg_1d,1,1000,2,3387213021,1.2,1.1131774158604655
gg_1d,1,1000,3,1360466708,0.02,1.0055353102788176
gg_1d,1,1000,3,1360466708,0.026516504294,0.35484541686798043
gg_1d,1,1000,3,1360466708,0.0375,0.1202836886631748
gg_1d,1,1000,3,1360466708,0.053033008589,0.13739501182079517
gg_1d,1,1000,3,1360466708,0.075,0.21766999622518987
gg_1d,1,1000,3,1360466708,0.106066017178,0.20910577889168788
gg_1d,1,1000,3,1360466708,0.15,0.2056614004990212
gg_1d,1,1000,3,1360466708,0.212132034356,0.07815625697383197
gg_1d,1,1000,3,1360466708,0.3,0.09568841225534565
gg_1d,1,1000,3,1360466708,0.424264068712,0.35820187702509343
gg_1d,1,1000,3,1360466708,0.6,0.4639170136263512
gg_1d,1,1000,3,1360466708,0.848528137424,0.650212605151699
gg_1d,1,1000,3,1360466708,1.2,1.0021375997090993
gg_1d,1,1000,4,876933080,0.02,0.9142515933323861
gg_1d,1,1000,4,876933080,0.026516504294,0.9295825158278659
gg_1d,1,1000,4,876933080,0.0375,0.7668886617766733
gg_1d,1,1000,4,876933080,0.053033008589,0.8297078309090318
gg_1d,1,1000,4,876933080,0.075,0.5878488544260856
gg_1d,1,1000,4,876933080,0.106066017178,0.5513150102821073
gg_1d,1,1000,4,876933080,0.15,0.5115724787270385
gg_1d,1,1000,4,876933080,0.212132034356,0.3508038258940898
gg_1d,1,1000,4,876933080,0.3,0.16950088389686596
gg_1d,1,1000,4,876933080,0.424264068712,0.4428175860120617
gg_1d,1,1000,4,876933080,0.6,0.5099504365328175
gg_1d,1,1000,4,876933080,0.848528137424,0.6412751248112998
gg_1d,1,1000,4,876933080,1.2,1.0980442540158468
gg_1d,1,1000,5,3424658561,0.02,0.5012321086854172
gg_1d,1,1000,5,3424658561,0.026516504294,0.35282835821679737
