model_id,dim,M,rep,seed,method,selected_h,ise
mm_2d,2,1000,0,3003105692,oracle,0.6,0.9805879420649568
mm_2d,2,1000,0,3003105692,lepski,0.6,0.9805879420649568
mm_2d,2,1000,1,976400780,oracle,0.3,0.6480627807776939
mm_2d,2,1000,1,976400780,lepski,0.848528137424,0.8151225055152167
mm_2d,2,1000,2,3387213021,oracle,0.6,0.7363623841067416
mm_2d,2,1000,2,3387213021,lepski,0.6,0.7363623841067416
mm_2d,2,1000,3,1360466708,oracle,0.424264068712,0.5359256464430313
mm_2d,2,1000,3,1360466708,lepski,0.848528137424,0.7645120423500993
mm_2d,2,1000,4,876933080,oracle,0.6,0.5243524531337076
mm_2d,2,1000,4,876933080,lepski,0.848528137424,0.5872754826386445
mm_2d,2,1000,5,3424658561,oracle,0.3,0.8636628347460873
mm_2d,2,1000,5,3424658561,lepski,0.212132034356,1.4083406416288047
mm_2d,2,1000,6,2760304911,oracle,0.212132034356,0.8970387252814306
mm_2d,2,1000,6,2760304911,lepski,0.6,0.9411677934852879
mm_2d,2,1000,7,2904491693,oracle,0.212132034356,0.6089489406417884
mm_2d,2,1000,7,2904491693,lepski,0.6,0.7220121961464553
mm_2d,2,1000,8,4245388044,oracle,0.848528137424,0.9586089829550076
mm_2d,2,1000,8,4245388044,lepski,0.3,1.5821052572420105
mm_2d,2,1000,9,1679802727,oracle,0.424264068712,0.5117148196886614
mm_2d,2,1000,9,1679802727,lepski,0.424264068712,0.5117148196886614
mm_2d,2,2000,0,3605303106,oracle,0.3,0.38604083829897484
mm_2d,2,2000,0,3605303106,lepski,0.6,0.4926501327256532
mm_2d,2,2000,1,1429424934,oracle,0.3,0.28507669480051634
mm_2d,2,2000,1,1429424934,lepski,0.6,0.5047237675600582
mm_2d,2,2000,2,2437408156,oracle,0.424264068712,0.6255716980313347
mm_2d,2,2000,2,2437408156,lepski,0.6,0.7383443472774631
mm_2d,2,2000,3,2569716528,oracle,0.424264068712,0.4079967278077165
mm_2d,2,2000,3,2569716528,lepski,0.424264068712,0.4079967278077165
mm_2d,2,2000,4,915442270,oracle,0.6,0.5487004020072956
mm_2d,2,2000,4,915442270,lepski,0.424264068712,0.7160157145542216
mm_2d,2,2000,5,802017219,oracle,0.848528137424,0.892030471373605
mm_2d,2,2000,5,802017219,lepski,0.424264068712,1.1517163141003144
mm_2d,2,2000,6,984129068,oracle,0.15,0.43796884567593164
mm_2d,2,2000,6,984129068,lepski,0.6,0.7219026859985006
mm_2d,2,2000,7,2889465206,oracle,0.424264068712,0.41689677831896554
mm_2d,2,2000,7,2889465206,lepski,1.2,0.9708152141417047
mm_2d,2,2000,8,2634853374,oracle,0.424264068712,0.544915681178859
mm_2d,2,2000,8,2634853374,lepski,0.3,0.5655501351688124
mm_2d,2,2000,9,4045012504,oracle,0.3,0.4314458585022984
mm_2d,2,2000,9,4045012504,lepski,0.848528137424,0.9888998826758855
mm_2d,2,4000,0,3032918238,oracle,0.424264068712,0.3535964154244751
mm_2d,2,4000,0,3032918238,lepski,0.424264068712,0.3535964154244751
mm_2d,2,4000,1,1066207224,oracle,0.3,0.3749281230793021
mm_2d,2,4000,1,1066207224,lepski,0.424264068712,0.38764143572032195
mm_2d,2,4000,2,3929519758,oracle,0.424264068712,0.42056482700026016
mm_2d,2,4000,2,3929519758,lepski,0.106066017178,1.8390539926942016
mm_2d,2,4000,3,4075413513,oracle,0.424264068712,0.34234687263174735
mm_2d,2,4000,3,4075413513,lepski,0.6,0.421130078623796
mm_2d,2,4000,4,3145778132,oracle,0.424264068712,0.3940617651575286
mm_2d,2,4000,4,3145778132,lepski,0.6,0.4691125958023995
mm_2d,2,4000,5,2865763038,oracle,0.212132034356,0.32244016406053483
mm_2d,2,4000,5,2865763038,lepski,0.6,0.4504529451237125
mm_2d,2,4000,6,561033802,oracle,0.424264068712,0.4892668194533319
mm_2d,2,4000,6,561033802,lepski,0.424264068712,0.4892668194533319
mm_2d,2,4000,7,411878496,oracle,0.424264068712,0.3398065436567253
mm_2d,2,4000,7,411878496,lepski,0.6,0.4730265416919461
mm_2d,2,4000,8,1143809828,oracle,0.424264068712,0.3872545947734258
mm_2d,2,4000,8,1143809828,lepski,0.15,1.1402632917159339
mm_2d,2,4000,9,1897686915,oracle,0.6,0.38459609371869563
mm_2d,2,4000,9,1897686915,lepski,0.212132034356,0.7187997339172714
