method,M,mean_sup_err
lepski,1000,0.22042957398943758
lepski,2000,0.28719614826644807
lepski,4000,0.20595937933865774
oracle,1000,0.1438550213110326
oracle,2000,0.13278200173027507
oracle,4000,0.11759649951746012
