method,M,mean_ise
lepski,1000,0.7817425211414901
lepski,2000,0.5667704406285479
lepski,4000,0.5117812943248846
lepski,8000,0.37015067552626724
oracle,1000,0.6458254810101483
oracle,2000,0.5056751383009741
oracle,4000,0.4203510505080449
oracle,8000,0.3544673865889486
