method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.41259144981620005,1.5107547423022623,0.0,0.17058725084180462,0.0026250747546989078
lepski,2000,0.4513782463806,1.1778659553507427,0.0,0.17258201503493503,0.002657634376481941
lepski,4000,0.3497056274848,1.4673088645639614,0.0,0.17201605784841037,0.002569646072514931
lepski,8000,0.3497056274848,1.2290826800591008,0.0,0.17599753789317196,0.002569556952026723
oracle,1000,0.41761132163520004,1.0,0.05,0.1703886984982557,0.002649995286806172
oracle,2000,0.3833452377916,1.0,0.0,0.1706831425397373,0.0024892102332075778
oracle,4000,0.37637824638059997,1.0,0.0,0.17161948976674218,0.002634388663864074
oracle,8000,0.3281155300615,1.0,0.0,0.17537715416735103,0.00267228297272375
