method,M,mean_sup_err
lepski,1000,0.629308997713165
lepski,2000,0.456071306022214
lepski,4000,0.4641651807468993
lepski,8000,0.3323933565679279
oracle,1000,0.4591568612667878
oracle,2000,0.3845698687999771
oracle,4000,0.34532629038823487
oracle,8000,0.27118890999090334
