model_id,M,rep,seed,h,a_hat,a_star,f_hat,D_hat,sigma_hat,Z,covered_95
mm_1d,1000,0,1647280922,0.1445439770745927,0.16803275479203655,0.08235474911323676,0.3004605901972401,0.6551373484316422,10.06791477861071,0.3246381714718767,1
mm_1d,1000,1,3019509485,0.1445439770745927,0.19585701385078952,0.08235474911323676,0.29567703683816243,0.6661403781690184,10.822264709980868,0.4148064024029282,1
mm_1d,1000,2,3169849710,0.1445439770745927,0.38902760358174787,0.08235474911323676,0.3713454402957073,0.6705489855028884,7.631584174847578,1.3346518297078838,1
mm_1d,1000,3,2291500627,0.1445439770745927,-0.24394601791006573,0.08235474911323676,0.2388663772849871,0.6835477488555615,13.405575583391453,-1.0714585181315956,1
mm_1d,1000,4,3125926981,0.1445439770745927,-0.07698600179657178,0.08235474911323676,0.3188356823831466,0.699130472388353,9.765346437938847,-0.6130318403270001,1
mm_1d,1000,5,548958189,0.1445439770745927,-0.17745906816570192,0.08235474911323676,0.29711762156688926,0.6732706804827605,11.388244451036542,-0.9256223944601731,1
mm_1d,1000,6,2587232443,0.1445439770745927,-0.010296152412346687,0.08235474911323676,0.3260646956884389,0.6877007536143516,9.014714287602782,-0.37099979200899513,1
mm_1d,1000,7,3431512084,0.1445439770745927,-0.3296969616563003,0.08235474911323676,0.2979657780652766,0.705519981209712,10.671647416295672,-1.5164775576993132,1
mm_1d,1000,8,1319777362,0.1445439770745927,-0.5679120159700954,0.08235474911323676,0.26906757738539666,0.7672361310416973,9.715242764448927,-2.5082148184659805,0
mm_1d,1000,9,1760654890,0.1445439770745927,0.17236902441406382,0.08235474911323676,0.24291693178492932,0.6190253094003355,15.639394479952152,0.27365376159783433,1
mm_1d,1000,10,873790567,0.1445439770745927,0.09568377640137252,0.08235474911323676,0.267378345829978,0.7095998657538422,10.107205154133068,0.05040607909532814,1
mm_1d,1000,11,2848478544,0.1445439770745927,-0.06528109363149445,0.08235474911323676,0.3228724686301422,0.6990617382400537,8.705182118734173,-0.6015931420549824,1
mm_1d,1000,12,3171747728,0.1445439770745927,-0.05175086708727822,0.08235474911323676,0.3205440584260768,0.6797246520033369,9.603404203032342,-0.5202766818151426,1
mm_1d,1000,13,3821783005,0.1445439770745927,0.5069201712238948,0.08235474911323676,0.26257777291532336,0.6448933531460767,10.864909719872067,1.5485725619039628,1
mm_1d,1000,14,3387784873,0.1445439770745927,0.26116857418368333,0.08235474911323676,0.30716054606355536,0.6709921079316462,9.575283062929113,0.6947447646028716,1
mm_1d,1000,15,1310736815,0.1445439770745927,0.19789261353208382,0.08235474911323676,0.2542614307888811,0.6317034137145985,13.571579994749914,0.3770588428661291,1
mm_1d,1000,16,535578020,0.1445439770745927,0.11047334056556946,0.08235474911323676,0.2957580741571917,0.6637888662499409,11.551331994034527,0.09946665857221589,1
mm_1d,1000,17,2698082893,0.1445439770745927,0.48532745045057224,0.08235474911323676,0.2653930582825434,0.6394741548225245,11.003242563767676,1.4605461462474456,1
mm_1d,1000,18,3076675983,0.1445439770745927,-0.673344811443091,0.08235474911323676,0.29234654899153145,0.7809367492859757,7.671406184251808,-3.2802857741690654,0
mm_1d,1000,19,4270102903,0.1445439770745927,0.7389053248919867,0.08235474911323676,0.35440005813214326,0.608299805760635,7.953509022733375,2.7989091215935145,0
mm_1d,1000,20,3119532331,0.1445439770745927,0.5095943964438424,0.08235474911323676,0.3163854205437165,0.6427983634769553,9.140690023027826,1.6989557089801346,1
mm_1d,1000,21,1895915980,0.1445439770745927,0.11411613638916407,0.08235474911323676,0.2899683788374886,0.6530154687424605,11.182531993670757,0.11419034593148672,1
mm_1d,1000,22,2862082123,0.1445439770745927,0.19101185989566408,0.08235474911323676,0.2875873489053665,0.6857134973571467,9.657011146509996,0.42037490920202564,1
mm_1d,1000,23,4241223729,0.1445439770745927,0.047929836410634113,0.08235474911323676,0.2708825108812519,0.6730890781312866,11.757591645954072,-0.12070177627361403,1
mm_1d,1000,24,2765407705,0.1445439770745927,0.501310326689711,0.08235474911323676,0.29661785342851893,0.6178729211152513,10.817259997684083,1.5314729924902426,1
mm_1d,1000,25,3979189990,0.1445439770745927,0.025423406605810384,0.08235474911323676,0.29103201550692287,0.6687807932151038,11.332075284643052,-0.20332777094059062,1
mm_1d,1000,26,2724972703,0.1445439770745927,-0.47471081676644517,0.08235474911323676,0.2733886617902435,0.7255121577798931,11.189137483139584,-2.002202544656797,0
mm_1d,1000,27,2436384902,0.1445439770745927,0.425661565608746,0.08235474911323676,0.3139832352896471,0.6303292111287494,10.283526119963705,1.2870973580330187,1
mm_1d,1000,28,3350542330,0.1445439770745927,0.08634686997352994,0.08235474911323676,0.27682618966919775,0.6445140689930434,12.086211582362443,0.0138057048539887,1
