method,metric,slope,intercept,theory_secant,theory_asymptotic
lepski,sup_err,-0.17035897995837196,-0.03044526747192818,-0.34722805831679177,-0.4
oracle,sup_err,-0.14538523174004994,-0.9277716589026598,-0.34722805831679177,-0.4
lepski,ise,-0.18119923633621457,-0.03528958196618015,-0.34722805831679177,-0.4
oracle,ise,-0.10975676886996191,-1.249728731239974,-0.34722805831679177,-0.4
