method,M,mean_sup_err
lepski,1000,0.28154782286208885
lepski,2000,0.2997195249551666
lepski,4000,0.22232374395978582
oracle,1000,0.1438550213110326
oracle,2000,0.13278200173027507
oracle,4000,0.11759649951746012
