method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.5297056274848,2.5504242251857057,0.0,0.37985405395683314,0.007350353067434974
lepski,2000,0.46349242404919994,2.672425441982367,0.0,0.3877749960710028,0.0074292717299464794
lepski,4000,0.39781222920259995,2.4290923020187756,0.0,0.3937995366283126,0.0073129251675324745
oracle,1000,0.324099025767,1.0,0.0,0.39261408588943286,0.0061689485016256165
oracle,2000,0.28269960742345,1.0,0.0,0.38416388477404334,0.0065892046602091265
oracle,4000,0.2210844154602,1.0,0.0,0.3952948320704669,0.006430423329813214
