method,M,mean_ise
lepski,1000,0.6137988266132386
lepski,2000,0.5272210342208485
lepski,4000,0.7566674240593154
lepski,8000,0.4236831790087847
oracle,1000,0.26234069197041604
oracle,2000,0.22453523095593014
oracle,4000,0.15215771741251105
oracle,8000,0.12325396418269642
