method,M,mean_sup_err
lepski,1000,0.5291895019337522
lepski,2000,0.9429479161020815
lepski,4000,0.9538364440820668
oracle,1000,0.2019591727258375
oracle,2000,0.22784616798975707
oracle,4000,0.1466773747220709
