M,mean_Z,var_Z,coverage_95,mean_sigma_hat,mean_h,shapiro_W,shapiro_p,anderson_stat,anderson_crit_5pct,anderson_reject_5pct
1000,-0.029120477541289283,1.1605079768648037,92.66666666666666,0.9242337742852199,0.21877616239495534,0.9925492321874118,0.13903618783075694,0.6896504541986701,0.75,0
2000,-0.08300687780072309,0.9648553820365499,96.33333333333334,0.904234063141871,0.18783365134880167,0.9974953551333827,0.9298054200928558,0.25381389089693585,0.75,0
4000,0.056018384457340066,0.8287022484174844,96.66666666666667,0.9043252468450356,0.1612674808479808,0.9930779724464088,0.18091707968205295,0.5368641675501067,0.75,0
8000,-0.015311024155142506,0.9744878331671033,96.66666666666667,0.9036341463619105,0.1384586850774637,0.9957156076290014,0.5848103385416015,0.48375276481135643,0.75,0
