method,metric,slope,intercept,theory_secant,theory_asymptotic
lepski,sup_err,-0.009076221594418333,-1.0986028415882532,-0.34722805831679177,-0.4
oracle,sup_err,-0.14538523174004994,-0.9277716589026598,-0.34722805831679177,-0.4
lepski,ise,-0.00508388805718313,-1.181235815639478,-0.34722805831679177,-0.4
oracle,ise,-0.10975676886996191,-1.249728731239974,-0.34722805831679177,-0.4
