method,M,mean_ise
lepski,1000,1.0762323874030832
lepski,2000,1.079578790669566
lepski,4000,0.9383698151849902
lepski,8000,0.7303673545841594
oracle,1000,0.7403765437470732
oracle,2000,0.5951026062035417
oracle,4000,0.4500393406138795
oracle,8000,0.338769250205757
