method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.4997056274848,1.8302111193338082,0.0,0.380668648923211,0.006924909403309742
lepski,2000,0.4383084412272,2.5492549409638,0.0,0.39029740703192545,0.007657165244007481
lepski,4000,0.384632034356,2.314192739659582,0.0,0.394472212939404,0.007268338980306538
oracle,1000,0.324099025767,1.0,0.0,0.39261408588943286,0.0061689485016256165
oracle,2000,0.28269960742345,1.0,0.0,0.38416388477404334,0.0065892046602091265
oracle,4000,0.2210844154602,1.0,0.0,0.3952948320704669,0.006430423329813214
