model_id,M,rep,seed,h,a_hat,a_star,f_hat,D_hat,sigma_hat,Z,covered_95
mm_1d,4000,0,1647280922,0.16126748084798076,0.11130373868080995,0.08235474911323676,0.2981430093021539,0.6707876714829418,10.284704454078414,0.22926665692569947,1
mm_1d,4000,1,3019509485,0.16126748084798076,0.08042118817762858,0.08235474911323676,0.30900629148611775,0.7025031566381378,8.997182521203978,-0.016372235933954628,1
mm_1d,4000,2,3169849710,0.16126748084798076,0.005859667352230147,0.08235474911323676,0.2938921841986804,0.6828894196084415,10.785377750898647,-0.5915878276348072,1
mm_1d,4000,3,2291500627,0.16126748084798076,0.27946485907348506,0.08235474911323676,0.29781982514547967,0.6432660080034137,10.43971920818509,1.5494154703411718,1
mm_1d,4000,4,3125926981,0.16126748084798076,-0.021917517783392737,0.08235474911323676,0.2988453171876376,0.6573551681996271,11.358612028497724,-0.7857955752530893,1
mm_1d,4000,5,548958189,0.16126748084798076,-0.13575427309991742,0.08235474911323676,0.3026056093689103,0.6860227371626096,10.536024920362268,-1.7066270811649396,1
mm_1d,4000,6,2587232443,0.16126748084798076,0.06311000984932424,0.08235474911323676,0.30054368104143436,0.6563865921546351,10.999087784648028,-0.1473795051501389,1
mm_1d,4000,7,3431512084,0.16126748084798076,-0.03364630220881376,0.08235474911323676,0.2816841637376306,0.7001419608631222,10.47281117432494,-0.9104030107158416,1
mm_1d,4000,8,1319777362,0.16126748084798076,0.09724445504768545,0.08235474911323676,0.3147968627880621,0.6672488491202283,10.265477526663695,0.11803204699588027,1
mm_1d,4000,9,1760654890,0.16126748084798076,0.050910756343685304,0.08235474911323676,0.2912992270986049,0.66570157229315,11.114467569270383,-0.23955031864024864,1
mm_1d,4000,10,873790567,0.16126748084798076,-0.04904392392230714,0.08235474911323676,0.3117981688121898,0.7050823032979233,9.354459323189797,-1.0911514411563035,1
mm_1d,4000,11,2848478544,0.16126748084798076,0.07649525766423637,0.08235474911323676,0.265275059052771,0.6670282122641356,11.698160420506495,-0.04351154807289645,1
mm_1d,4000,12,3171747728,0.16126748084798076,0.03849569491273269,0.08235474911323676,0.28762465617582705,0.6906561175472309,10.167126121150478,-0.34935225689854726,1
mm_1d,4000,13,3821783005,0.16126748084798076,0.09775271821712853,0.08235474911323676,0.2861444912501666,0.642432770759526,11.77726652253456,0.11395793969905926,1
mm_1d,4000,14,3387784873,0.16126748084798076,-0.07119239559838342,0.08235474911323676,0.29227644277473036,0.6686723592927851,11.142931261564009,-1.1682758944986134,1
mm_1d,4000,15,1310736815,0.16126748084798076,-0.07585728187836871,0.08235474911323676,0.3052388160290368,0.6860738155686464,10.245709139446355,-1.2553704190465358,1
mm_1d,4000,16,535578020,0.16126748084798076,0.13553715653682116,0.08235474911323676,0.29935716074976243,0.6633445630718648,10.71223162762918,0.4126970951551111,1
mm_1d,4000,17,2698082893,0.16126748084798076,0.12265218718568144,0.08235474911323676,0.2996391086737879,0.6465513896331232,11.369088834796159,0.30354144916146275,1
mm_1d,4000,18,3076675983,0.16126748084798076,0.2676811258059498,0.08235474911323676,0.3234856016767043,0.6656892022121246,9.076288368238767,1.562379344601574,1
mm_1d,4000,19,4270102903,0.16126748084798076,0.11083266450871182,0.08235474911323676,0.2954585192510847,0.6658426288989692,10.883720021927234,0.21924157405212144,1
mm_1d,4000,20,3119532331,0.16126748084798076,0.06673667586717003,0.08235474911323676,0.2900593623535959,0.678378425718809,10.630011134622638,-0.12166453263888295,1
mm_1d,4000,21,1895915980,0.16126748084798076,0.06463946587263597,0.08235474911323676,0.28900560417951654,0.6775483870617011,10.740401031557392,-0.13729074074664097,1
mm_1d,4000,22,2862082123,0.16126748084798076,0.047964139064222144,0.08235474911323676,0.3048028689606978,0.6865641900926619,10.02890788113614,-0.27581409437440246,1
mm_1d,4000,23,4241223729,0.16126748084798076,0.06263429127081444,0.08235474911323676,0.3069194550273646,0.6609686480691817,10.67754172187793,-0.15327973879453205,1
mm_1d,4000,24,2765407705,0.16126748084798076,0.25085952662075983,0.08235474911323676,0.29050106386018276,0.6402860243650833,11.116647050812213,1.2835970392276097,1
mm_1d,4000,25,3979189990,0.16126748084798076,0.17016944751419724,0.08235474911323676,0.2878728300890066,0.6686277235626017,10.60477819703252,0.684888408435508,1
mm_1d,4000,26,2724972703,0.16126748084798076,0.08566295566407561,0.08235474911323676,0.29340457319052166,0.6755481294414488,10.493836091680047,0.025937545486752728,1
mm_1d,4000,27,2436384902,0.16126748084798076,0.1450525795860716,0.08235474911323676,0.3085553239477878,0.6594069171435081,10.188510224323524,0.4988851388467746,1
mm_1d,4000,28,3350542330,0.16126748084798076,0.05824213498771949,0.08235474911323676,0.284539736519557,0.6928699550880755,9.900643259883699,-0.19463278036038795,1
mm_1d,4000,29,2463198687,0.16126748084798076,0.23858598698636657,0.08235474911323676,0.2796991500585517,0.6605497974695045,10.815508634386568,1.206556868501029,1
mm_1d,4000,30,2870252075,0.16126748084798076,-0.07935663767479756,0.08235474911323676,0.29163902755631116,0.6978060693172389,10.231025357683535,-1.284057339597651,1
mm_1d,4000,31,2691447209,0.16126748084798076,0.07993482122641768,0.08235474911323676,0.286682899522785,0.681021756488644,10.460982960706703,-0.019002886463682086,1
mm_1d,4000,32,1243477403,0.16126748084798076,0.04520700700910013,0.08235474911323676,0.31145844719630866,0.6977456223178155,9.238911239304594,-0.3104026505473511,1
mm_1d,4000,33,1046730873,0.16126748084798076,0.2870999163006885,0.08235474911323676,0.2767445876461706,0.6456322219495775,11.557642874510137,1.5296160102313707,1
mm_1d,4000,34,1523244417,0.16126748084798076,0.0017522510364709198,0.08235474911323676,0.30315566554177587,0.6781702793159936,10.56088674377548,-0.6299436549696584,1
mm_1d,4000,35,2312756418,0.16126748084798076,-0.16238590789687582,0.08235474911323676,0.3184917544276094,0.702163904286631,9.45254480367695,-2.02178581848291,0
mm_1d,4000,36,3623032027,0.16126748084798076,0.13017874430615042,0.08235474911323676,0.311096349791119,0.6656086898528673,10.161008887499221,0.3810490077347015,1
mm_1d,4000,37,965524818,0.16126748084798076,-0.02644092098584433,0.08235474911323676,0.2911002571644512,0.6896438627058104,10.375174008315252,-0.8578617684323578,1
mm_1d,4000,38,221088048,0.16126748084798076,0.04254040100663117,0.08235474911323676,0.31034135545283903,0.6747854248717662,10.10957317564893,-0.3180362293621769,1
mm_1d,4000,39,2264734856,0.16126748084798076,0.1044300620901617,0.08235474911323676,0.2838401355832361,0.6479029443399734,11.870411275037375,0.16273365660016337,1
mm_1d,4000,40,3144691639,0.16126748084798076,-0.06950956597384803,0.08235474911323676,0.3232331164548142,0.685356240180066,9.727864897450484,-1.2366601524567808,1
mm_1d,4000,41,530358279,0.16126748084798076,0.20022615251458334,0.08235474911323676,0.32363166326732584,0.6733639805246993,9.415345397364723,0.9756492672554888,1
mm_1d,4000,42,2112311415,0.16126748084798076,0.14725271142752974,0.08235474911323676,0.30732701199183626,0.6590636646821121,10.377991786868627,0.5116556758858095,1
mm_1d,4000,43,1160586069,0.16126748084798076,-0.060473275551971434,0.08235474911323676,0.30529236631328627,0.683218850860853,10.077078913242254,-1.14274543939571,1
mm_1d,4000,44,2476998456,0.16126748084798076,0.23448822293032537,0.08235474911323676,0.2936915741145947,0.6535085830296247,10.830820022344223,1.174079510772997,1
mm_1d,4000,45,1392659718,0.16126748084798076,-0.02251039462045995,0.08235474911323676,0.30863846591707017,0.6861354649183079,9.811814226162403,-0.8502759488312789,1
mm_1d,4000,46,3672101873,0.16126748084798076,-0.1174834220951787,0.08235474911323676,0.3173037341003326,0.6843328746426669,9.953052539225906,-1.6088060655839762,1
mm_1d,4000,47,2201319596,0.16126748084798076,0.026862015706224235,0.08235474911323676,0.3118291237056436,0.6890014163261582,9.531247001245314,-0.4565250911117066,1
mm_1d,4000,48,4262715806,0.16126748084798076,0.028738482062631437,0.08235474911323676,0.29425705618298603,0.670296644338909,10.501144377020681,-0.4202247770905754,1
mm_1d,4000,49,3090321159,0.16126748084798076,0.18740809380799625,0.08235474911323676,0.27010931978292174,0.6719337730072469,11.244022191614318,0.7957056349870125,1
mm_1d,4000,50,1850503824,0.16126748084798076,-0.1544310309585111,0.08235474911323676,0.30663849617070627,0.6857779458296464,10.158296835256722,-1.8868986108528207,1
mm_1d,4000,51,124970725,0.16126748084798076,-0.0789371806840701,0.08235474911323676,0.31228933676771453,0.6947132346139306,9.567283290042257,-1.324407763494952,1
mm_1d,4000,52,3357650776,0.16126748084798076,0.29405828484662916,0.08235474911323676,0.32360315916851357,0.6406977221777822,9.91791518395072,1.7073451020587822,1
mm_1d,4000,53,261902659,0.16126748084798076,0.27254118932590066,0.08235474911323676,0.29637684949069815,0.6368972802450638,10.84675763827631,1.4666719226842353,1
mm_1d,4000,54,2895645555,0.16126748084798076,-0.05013109851890907,0.08235474911323676,0.2825880836489857,0.6871899863848436,10.807692456064,-1.0235437160682297,1
mm_1d,4000,55,61445324,0.16126748084798076,0.060253463483279784,0.08235474911323676,0.29342117973026133,0.6587988121170535,11.00667381329388,-0.16919708860721824,1
mm_1d,4000,56,2366143728,0.16126748084798076,0.02129377301276547,0.08235474911323676,0.3033513952282142,0.6588435900775087,11.005909453352158,-0.4674704587782708,1
mm_1d,4000,57,3183203260,0.16126748084798076,-0.048471748642048146,0.08235474911323676,0.32652856529201413,0.6838323312823062,9.730688834251033,-1.0651905859568438,1
mm_1d,4000,58,2057630931,0.16126748084798076,0.031230864750884796,0.08235474911323676,0.32591453957480915,0.6768452804975961,9.383081724845548,-0.4238912881245216,1
mm_1d,4000,59,1972046479,0.16126748084798076,0.0006358155929221676,0.08235474911323676,0.3135058915552703,0.6589901247360236,10.804535275365469,-0.6314268436098718,1
mm_1d,4000,60,521401722,0.16126748084798076,0.01760729098000416,0.08235474911323676,0.3109989448852278,0.6551670837528146,10.954961785643322,-0.49684472883332587,1
mm_1d,4000,61,859055346,0.16126748084798076,0.07317986286534156,0.08235474911323676,0.28880144963600185,0.6770385232038119,10.264973582380383,-0.07273193921384434,1
mm_1d,4000,62,1172465656,0.16126748084798076,0.09027076486749969,0.08235474911323676,0.3413728915663137,0.6789754404166793,8.719190365389569,0.0680882177853309,1
mm_1d,4000,63,763833961,0.16126748084798076,-0.16309280821551467,0.08235474911323676,0.2979156486328636,0.6928671569472581,10.282567303561773,-1.9440674579546309,1
