label,setting,M,rep,seed,selected_h,sup_err,ise,boundary,gap_to_oracle,D_hat,var_raw_num,var_raw_den
GG1,compact,4000,0,3003105692,0.6,0.2174905109409355,0.3007648770740006,0.0,2.249447878611188,0.956005781460526,0.06833135887065143,0.2299275515819046
GG1,compact,4000,1,976400780,0.424264068712,0.1463864378688049,0.1750932960878707,0.0,1.1519039330944048,0.9625985210824318,0.08768261256403834,0.37225550724956374
GG1,compact,4000,2,3387213021,0.3,0.14753348442356,0.1016122140058501,0.0,4.260781979532222,0.9758796678003803,0.1379217018133363,0.6192302554985416
GG1,compact,4000,3,1360466708,0.6,0.4014876315691857,0.4220702875300272,0.0,2.5967363502068843,0.9541729532713134,0.0649799881604638,0.22650156078698683
GG1,compact,4000,4,876933080,0.15,0.1108493948310429,0.1598169989080551,0.0,1.0,0.9806257636567614,0.2884095793514375,1.3320171523865634
GG1,compact,4000,5,3424658561,0.6,0.2194320062484189,0.2424829416793279,0.0,4.709647414527705,0.9612717135209154,0.06373205042102967,0.23043715786908983
GG1,compact,4000,6,2760304911,0.3,0.2496292959843762,0.2348275417069858,0.0,1.5135207212080248,0.9626669103291526,0.14640804077001696,0.6242560753851221
GG1,compact,4000,7,2904491693,0.3,0.0401992223518208,0.0523373260025419,0.0,1.0,0.9716092980912973,0.13716288838469137,0.5831874679335932
GG1,compact,4000,8,4245388044,0.212132034356,0.1246817778755344,0.0810103585583775,0.0,1.0403209204668005,0.9767262404926691,0.20492458872246347,0.9805319412612026
GG1,compact,4000,9,1679802727,0.3,0.0419794334540517,0.0699745357445006,0.0,1.0,0.9726690097434779,0.13535666956475514,0.6391903770096938
GG1,compact,4000,10,3605303106,0.3,0.0750110412482549,0.1065758963727767,0.0,1.2990450058472476,0.9659437735433011,0.13716046169415416,0.6057120854793475
GG1,compact,4000,11,1429424934,0.6,0.2918151456058671,0.2881122123961368,0.0,1.771320261908182,0.9599569393567235,0.06237519371964807,0.22688627465693392
GG1,compact,4000,12,2437408156,0.424264068712,0.2192782159471198,0.2359434954887671,0.0,1.653752746558352,0.9616654432060606,0.09709821007174121,0.37879499135311995
GG1,compact,4000,13,2569716528,0.3,0.053194085092769,0.0581397491415566,0.0,1.0,0.9675314622847886,0.14964559079709627,0.6533068135083396
GG1,compact,4000,14,915442270,0.3,0.2361933037312251,0.2248201554694507,0.0,1.325350985681862,0.962263115411675,0.12919217280588274,0.5882140146368157
GG1,compact,4000,15,802017219,0.424264068712,0.108358296916406,0.0954963679584593,0.0,2.0945436452432458,0.9695320124930815,0.09284122826925072,0.3818396224968508
GG1,compact,4000,16,984129068,0.424264068712,0.1366364762851821,0.2042472935524145,0.0,1.0,0.963435122992533,0.08223014405790363,0.37461259177969003
GG1,compact,4000,17,2889465206,0.3,0.0669706150343518,0.0373390357519883,0.0,1.0,0.9715686715242515,0.1334744607355461,0.5991535351868753
GG1,compact,4000,18,2634853374,0.106066017178,0.1844490399680411,0.1712582109722113,0.0,3.1052485724249155,0.979328203361901,0.43118780030759746,1.94070709377589
GG1,compact,4000,19,4045012504,0.424264068712,0.3203631039561481,0.3043291291689206,0.0,1.954117560348503,0.960328301435049,0.09691147819996575,0.373271426073457
GG1,compact,4000,20,3032918238,0.424264068712,0.2174702612912677,0.152929263028325,0.0,1.0,0.9719013544019198,0.09049532548930452,0.3859885332705242
GG1,compact,4000,21,1066207224,0.3,0.1378172289966044,0.1454599462824806,0.0,1.1670533246200545,0.9675290306470332,0.15183790295047894,0.6200914160624654
GG1,compact,4000,22,3929519758,0.3,0.1180771498747694,0.1187349015509277,0.0,1.0,0.9700652557434309,0.14221851238820568,0.6183494638260527
GG1,compact,4000,23,4075413513,0.6,0.2981718568142657,0.32339605283605,0.0,5.904361283718642,0.9572831919095945,0.06259914573975094,0.22802487787265308
GG1,compact,4000,24,3145778132,0.3,0.1032238177663043,0.0822071058789261,0.0,1.0,0.9704395606815961,0.1461629129926258,0.6077578689667441
GG1,compact,4000,25,2865763038,0.075,0.2054662802298232,0.2467307425041499,0.0,1.0830373677608536,0.9688728215077206,0.5656623801304907,3.0877299886231686
GG1,compact,4000,26,561033802,0.424264068712,0.1501650601830162,0.1672479009639043,0.0,2.2049105458065275,0.9650652316051276,0.09890341741321217,0.3956625517503949
GG1,compact,4000,27,411878496,0.3,0.2901545714602416,0.2099322949571418,0.0,1.261459627952014,0.9654846947833675,0.14029862458487763,0.6038836474567836
GG1,compact,4000,28,1143809828,0.424264068712,0.1591178503310777,0.20553723733504,0.0,1.4521521085351528,0.9605428111972962,0.08905853128455106,0.37012345730089885
GG1,compact,4000,29,1897686915,0.106066017178,0.197618625837622,0.1523087831508026,0.0,1.0,0.9697106990860196,0.3250157466403308,1.6967086188468958
GG1,compact,4000,30,310984977,0.3,0.2263518703472322,0.1761660982557699,0.0,1.1470049202031531,0.9667169731762124,0.13901802311049652,0.5900932271750856
GG1,compact,4000,31,3807402261,0.424264068712,0.1240489463190073,0.108488067888978,0.0,1.0,0.9710684237599366,0.09229879111407624,0.38049516222361895
GG1,compact,4000,32,2035922533,0.075,0.3786644736101303,0.3193476197284706,0.0,7.322310071294461,0.985551973189794,0.5687517053622061,2.9676575531764997
GG1,compact,4000,33,2995539971,0.6,0.307162475607531,0.3246205202137582,0.0,3.0210945327424823,0.9575741552353983,0.0622006372922516,0.22553938061568113
GG1,compact,4000,34,913046978,0.424264068712,0.191422371679101,0.1964478703536213,0.0,2.4546678546233154,0.9651087841859483,0.09617347630766541,0.3865075503608088
GG1,compact,4000,35,1402190273,0.3,0.2491753357149191,0.2271261154771434,0.0,5.085417634885112,0.9663163464424936,0.14011612761787676,0.5929032114629412
GG1,compact,4000,36,498139153,0.3,0.189025705246967,0.1480885253518078,0.0,1.7357018753597493,0.9692255622882181,0.14860815977141834,0.6337033320614803
GG1,compact,4000,37,3152197458,0.6,0.3503754614596195,0.3467142245063726,0.0,3.0926486763680754,0.9570588952341922,0.06767318130991974,0.2313139435215198
GG1,compact,4000,38,3325497001,0.424264068712,0.1618691648729102,0.1705174258749483,0.0,1.0,0.965058749875813,0.08809341126753797,0.3644383847766601
GG1,compact,4000,39,945472433,0.424264068712,0.194317655150539,0.2009667928628641,0.0,3.811278053554448,0.9633099639026217,0.09172703503563061,0.3670246399568975
GG1,compact,4000,40,3070822591,0.424264068712,0.14206463372888,0.1277987225417379,0.0,2.095322288158882,0.96735438669254,0.09041722310192006,0.3839005977614289
GG1,compact,4000,41,350446006,0.3,0.1560127807273295,0.1400611586813457,0.0,2.8552548330589804,0.9633898103195709,0.13353908217062987,0.5803376297179536
GG1,compact,4000,42,1681873724,0.424264068712,0.2069677682056303,0.2376522017281725,0.0,1.834305483103305,0.9619248799827151,0.09318281099511691,0.37970401073127863
GG1,compact,4000,43,686746376,0.424264068712,0.3122025663414249,0.3260870293841461,0.0,1.9462811162118456,0.9547406184442983,0.10345647572333337,0.38831540270851306
GG1,compact,4000,44,3195502165,0.212132034356,0.1642516946327203,0.1315649739573556,0.0,1.209553333621215,0.977092660743719,0.18273373383094305,0.9114744819643406
GG1,compact,4000,45,1460719170,0.424264068712,0.2154268743235246,0.179984350767416,0.0,2.228243517330786,0.9660984116536017,0.09812663145079392,0.3941021903884116
GG1,compact,4000,46,2033282004,0.424264068712,0.1305319337752863,0.1726269336731568,0.0,1.5611271675564036,0.9627001715160449,0.09360583934814119,0.3796944262242546
GG1,compact,4000,47,1997989380,0.15,0.1441775397935982,0.1063362112438343,0.0,1.9530096644833608,0.9761083213056282,0.2864051391253584,1.3409482704829052
