label,setting,M,rep,seed,selected_h,sup_err,ise,boundary,gap_to_oracle,D_hat,var_raw_num,var_raw_den
MM1,compact,4000,0,3003105692,0.424264068712,0.2172517726654665,0.2254308726792162,0.0,5.205828083056024,0.632355608316152,0.1344383793058324,0.1819762006494856
MM1,compact,4000,1,976400780,0.053033008589,0.8369632990621285,0.8046210954986164,0.0,9.239199001807252,0.6407261242682715,1.158196076874504,1.7184280661014912
MM1,compact,4000,2,3387213021,0.15,0.1965508818039163,0.1664623446963687,0.0,1.4746362048704595,0.6741079502413573,0.3752666695455384,0.6111143509463665
MM1,compact,4000,3,1360466708,0.15,0.499286825006469,0.3922770933337519,0.0,1.81003879025232,0.66978601864419,0.3988944304888343,0.626062453077533
MM1,compact,4000,4,876933080,0.106066017178,0.0558454326030595,0.0723222050237689,0.0,1.0,0.6658180053687427,0.555314484920791,0.8318519987580956
MM1,compact,4000,5,3424658561,0.424264068712,0.1738208470943147,0.1733973270134082,0.0,1.3150496438790045,0.6541513096585613,0.14248133584255407,0.19474393661744885
MM1,compact,4000,6,2760304911,0.3,0.1880709887640197,0.213806406378843,0.0,1.0,0.6435852861420537,0.1886102756908902,0.2735263106359646
MM1,compact,4000,7,2904491693,0.424264068712,0.251514785060869,0.2921230141711666,0.0,1.1778569760796778,0.617567564037587,0.1302343353652762,0.182156526946821
MM1,compact,4000,8,4245388044,0.424264068712,0.2499865835486487,0.2861808476644712,0.0,1.0,0.6217849893867309,0.1180492013939156,0.16669658443876822
MM1,compact,4000,9,1679802727,0.3,0.2922699606026153,0.2517711764768608,0.0,1.186083143014823,0.6444336476045086,0.1926073155074017,0.27409851492779425
MM1,compact,4000,10,3605303106,0.424264068712,0.3032414418779483,0.3132968588988987,0.0,2.597651791290692,0.6318718857440969,0.1284897171623376,0.18408019468339504
MM1,compact,4000,11,1429424934,0.424264068712,0.2703215226180693,0.3891719177459048,0.0,3.893204791878023,0.6228936467743095,0.12371009372185791,0.1720194407672212
