model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
mm_1d,1,1000,0,3003105692,0.02,0.5225087530351606,0.5324582767183735,0.2381905701358668,0.18549339153456262
mm_1d,1,1000,0,3003105692,0.026516504294,0.5832644987848348,0.7083154491472929,0.24761078297561606,0.16989782708955917
mm_1d,1,1000,0,3003105692,0.0375,0.5320684500164687,0.6816702689874554,0.26454279902880273,0.17645299521729543
mm_1d,1,1000,0,3003105692,0.053033008589,0.5179108836501394,0.6847966863765843,0.30403383349779334,0.18468931622588472
mm_1d,1,1000,0,3003105692,0.075,0.5852159064555402,0.7003946523412502,0.3072439674044584,0.20061484678324773
mm_1d,1,1000,0,3003105692,0.106066017178,0.4735208685129342,0.585000914956393,0.2966415585975671,0.21245486476181002
mm_1d,1,1000,0,3003105692,0.15,0.3077112743549214,0.29210428844108427,0.2843232281777902,0.25547411976932405
mm_1d,1,1000,0,3003105692,0.212132034356,0.17895425982452265,0.1630986408492104,0.27509538944999495,0.285548995465376
mm_1d,1,1000,0,3003105692,0.3,0.12396076068496201,0.14137992224040774,0.27573153589975014,0.29728989038043047
mm_1d,1,1000,0,3003105692,0.424264068712,0.3054959729419693,0.274006978486085,0.2860391745196956,0.2549589099089541
mm_1d,1,1000,0,3003105692,0.6,0.46854025019227796,0.40817400093372114,0.28285524458925804,0.2613699278824328
mm_1d,1,1000,0,3003105692,0.848528137424,0.7088178000659162,0.6762021160696874,0.2727379413885212,0.3454300988671131
mm_1d,1,1000,0,3003105692,1.2,0.9487900216525569,0.9794980872939957,0.24802193855801524,0.43175082730324676
mm_1d,1,1000,1,976400780,0.02,0.7362062113491068,0.6810297072147588,0.4269288496962415,0.12239335715809817
mm_1d,1,1000,1,976400780,0.026516504294,0.7246159294332339,0.6846678835393222,0.3923840568885373,0.12283390345247971
mm_1d,1,1000,1,976400780,0.0375,0.7515000549253932,0.6126136225311603,0.3950239953180585,0.13537062576272282
mm_1d,1,1000,1,976400780,0.053033008589,0.7777654959260909,0.650086762184117,0.3728051376838588,0.12699279869566396
mm_1d,1,1000,1,976400780,0.075,0.5020394353203161,0.4512279578140264,0.3562703174155539,0.164904784413043
mm_1d,1,1000,1,976400780,0.106066017178,0.40384395492101444,0.3752191979984532,0.33831641595557865,0.18337483391636145
mm_1d,1,1000,1,976400780,0.15,0.3453492032936234,0.3881641510324413,0.3411810357363593,0.1806466452470928
mm_1d,1,1000,1,976400780,0.212132034356,0.3570143323768775,0.3618527202813633,0.33907811913853086,0.18662181193312624
mm_1d,1,1000,1,976400780,0.3,0.1317175193957314,0.14490295519617377,0.3369277280088851,0.2854539965306185
mm_1d,1,1000,1,976400780,0.424264068712,0.2798718014826611,0.26411100059350023,0.3221193800341358,0.32112421605770813
mm_1d,1,1000,1,976400780,0.6,0.42318768068062673,0.41945762621254823,0.30802526880584075,0.3330932897567243
mm_1d,1,1000,1,976400780,0.848528137424,0.6965047502242043,0.7013711147713225,0.2877176739605004,0.3842514172844474
mm_1d,1,1000,1,976400780,1.2,0.9502685894223277,0.9729522900164206,0.25462590777297583,0.4407067856427479
mm_1d,1,1000,2,3387213021,0.02,0.8346078484024491,0.7695794184343452,0.2292113287649737,0.11330329651376984
mm_1d,1,1000,2,3387213021,0.026516504294,0.5670463679915865,0.538424585988749,0.26275809635670644,0.16269763418998465
mm_1d,1,1000,2,3387213021,0.0375,0.5809985736162244,0.5115538301986702,0.29034575530474477,0.17107237940884615
mm_1d,1,1000,2,3387213021,0.053033008589,0.4840767598785356,0.41519873873237023,0.30856947873192575,0.19474221956783744
mm_1d,1,1000,2,3387213021,0.075,0.30670553807869316,0.26690270674783206,0.3022770080132234,0.25826620368288694
mm_1d,1,1000,2,3387213021,0.106066017178,0.2540538062221054,0.30632791353354794,0.3042862391051457,0.3536734609177299
mm_1d,1,1000,2,3387213021,0.15,0.31300623722427035,0.35489445974035116,0.2891039159475368,0.35299685523621643
mm_1d,1,1000,2,3387213021,0.212132034356,0.3648017779152347,0.4103608050546514,0.2921666026952725,0.348575642059151
mm_1d,1,1000,2,3387213021,0.3,0.3787064959184153,0.44061258222473487,0.2948064290945097,0.3531980016488292
mm_1d,1,1000,2,3387213021,0.424264068712,0.38543814594880255,0.5368115893894367,0.2926285969548913,0.37760045416640686
mm_1d,1,1000,2,3387213021,0.6,0.8148591003237204,0.8179497173481645,0.2873808477264247,0.4301635025876015
mm_1d,1,1000,2,3387213021,0.848528137424,0.9042729867753796,1.0064813493749616,0.27029173515380844,0.5095980092597506
mm_1d,1,1000,2,3387213021,1.2,0.8926666071757317,1.1569759993368083,0.23940573323826206,0.5058155247783191
mm_1d,1,1000,3,1360466708,0.02,0.6236628327810072,0.5853391766312341,0.3347036808911017,0.26452969515637514
mm_1d,1,1000,3,1360466708,0.026516504294,0.6507552680279134,0.6212034949529153,0.31532520787753665,0.2621311622324529
mm_1d,1,1000,3,1360466708,0.0375,0.6577440348028945,0.6216318974092886,0.30049296141503345,0.2624510107770453
