model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
mm_1d,1,1000,0,3003105692,oracle,0.3,0.12396076068496201,0.14137992224040774,0.27573153589975014,0.29728989038043047,1.0,0
mm_1d,1,1000,0,3003105692,lepski,0.3,0.12396076068496201,0.14137992224040774,0.27573153589975014,0.29728989038043047,1.0,0
mm_1d,1,1000,1,976400780,oracle,0.3,0.1317175193957314,0.14490295519617377,0.3369277280088851,0.2854539965306185,1.0,0
mm_1d,1,1000,1,976400780,lepski,0.212132034356,0.3570143323768775,0.3618527202813633,0.33907811913853086,0.18662181193312624,2.7104544180206247,0
mm_1d,1,1000,2,3387213021,oracle,0.106066017178,0.2540538062221054,0.30632791353354794,0.3042862391051457,0.3536734609177299,1.0,0
mm_1d,1,1000,2,3387213021,lepski,0.424264068712,0.38543814594880255,0.5368115893894367,0.2926285969548913,0.37760045416640686,1.5171516289420792,0
mm_1d,1,1000,3,1360466708,oracle,0.3,0.1571427467030133,0.18516251178389453,0.29585301468343517,0.31296448497314194,1.0,0
mm_1d,1,1000,3,1360466708,lepski,0.424264068712,0.21454926344145342,0.22987320782220785,0.2895627103871709,0.29519950504142434,1.3653144541690727,0
mm_1d,1,1000,4,876933080,oracle,0.212132034356,0.08253308008756705,0.07435728145377893,0.320674118179517,0.2925998512201441,1.0,0
mm_1d,1,1000,4,876933080,lepski,0.212132034356,0.08253308008756705,0.07435728145377893,0.320674118179517,0.2925998512201441,1.0,0
mm_1d,1,1000,5,3424658561,oracle,0.3,0.2220124862716124,0.2521108944985002,0.26583410607129876,0.3305197915464121,1.0,0
mm_1d,1,1000,5,3424658561,lepski,0.212132034356,0.3397104324978263,0.3167218586540157,0.2746035606204781,0.28428641669556554,1.5301411114428085,0
mm_1d,1,1000,6,2760304911,oracle,0.3,0.2669331793580146,0.22039730480677314,0.2754252439965688,0.27454248403722975,1.0,0
mm_1d,1,1000,6,2760304911,lepski,0.3,0.2669331793580146,0.22039730480677314,0.2754252439965688,0.27454248403722975,1.0,0
mm_1d,1,1000,7,2904491693,oracle,0.212132034356,0.26594135083937465,0.32783093242948186,0.3326101931528967,0.19660777716670688,1.0,0
mm_1d,1,1000,7,2904491693,lepski,0.0375,1.9203428155524427,2.6116801907793405,0.3301023896208784,0.005333026808469252,7.220926003012997,0
mm_1d,1,1000,8,4245388044,oracle,0.0375,0.19530353344659765,0.1750652918451486,0.3199354867006028,0.2869124664705786,1.0,0
mm_1d,1,1000,8,4245388044,lepski,0.3,0.37946062369827427,0.4100386348512245,0.2885277818270293,0.18082335193100763,1.9429275907188395,0
mm_1d,1,1000,9,1679802727,oracle,0.424264068712,0.20296591344645565,0.23672783391977278,0.31165185880575547,0.24546129731744878,1.0,0
mm_1d,1,1000,9,1679802727,lepski,0.15,0.5563905964408071,0.47720437664223675,0.32488575825604654,0.18153821129838363,2.7413006794738877,0
