method,M,mean_ise
lepski,1000,0.23316685585878108
lepski,1500,0.2203945644241146
lepski,2000,0.20643338055750618
lepski,3000,0.2080068303983313
lepski,4000,0.1665750350008215
lepski,6000,0.13248136845085068
lepski,8000,0.11531863024420856
oracle,1000,0.15927811359698427
oracle,1500,0.13931365746933697
oracle,2000,0.11966198816543017
oracle,3000,0.12140465970985276
oracle,4000,0.10253781464671528
oracle,6000,0.09345876142314193
oracle,8000,0.0732527554848516
