method,M,mean_sup_err
lepski,1000,0.24424802678063492
lepski,1500,0.22872181093962518
lepski,2000,0.21154673378640504
lepski,3000,0.21796390116244824
lepski,4000,0.17512629983153005
lepski,6000,0.1410352951441014
lepski,8000,0.12254962597711103
oracle,1000,0.16188225022506925
oracle,1500,0.13617507710139648
oracle,2000,0.11449490679821457
oracle,3000,0.1275259084969263
oracle,4000,0.10410237709718569
oracle,6000,0.09376059015235244
oracle,8000,0.07212804985325988
