method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.42202543263819997,1.6832049031376388,0.0,0.3906089150509721,0.006941580325530594
lepski,1500,0.38610081143574,1.8645150734600282,0.0,0.39254753922918517,0.0069474052615318815
lepski,2000,0.365132034356,2.1541585145334166,0.0,0.3961150161434659,0.006445056833336439
lepski,3000,0.35470473465041996,2.108756780939739,0.0,0.3927059986617873,0.0068077856003190655
lepski,4000,0.31755308422098,1.9148219369508943,0.0,0.39966451827078303,0.006504834385649503
lepski,6000,0.30203836559522,1.6281533661262744,0.0,0.3939373495586398,0.006645726491039937
lepski,8000,0.29084166645412,1.8994746454839873,0.0,0.3937556006124133,0.00664295019082628
oracle,1000,0.3193370939633,1.0,0.0,0.39484584899148767,0.0065281756716193805
oracle,1500,0.24380124439272,1.0,0.0,0.4042879914047134,0.006502121552792708
oracle,2000,0.26948227791424,1.0,0.0,0.3996291733401304,0.0061873534490640494
oracle,3000,0.2347383250553,1.0,0.0,0.4031838195449081,0.006389242524834138
oracle,4000,0.2008624051412,1.0,0.0,0.40594910988593264,0.006217730949475422
oracle,6000,0.16335953050924001,1.0,0.0,0.40046589751275163,0.006272588312222943
oracle,8000,0.17555826560739998,1.0,0.0,0.3924031052049054,0.006445376273336167
