M,mean_Z,var_Z,coverage_95,mean_sigma_hat,mean_h
1000,-0.014576427071841631,1.2097669376691678,92.0,0.894813804867209,0.19054607179632474
2000,0.09353401523501144,0.9568134096204157,96.0,0.9031358899745063,0.16134399308263153
4000,0.21967698948204437,0.8079501873402478,100.0,0.9139789141168755,0.13661726982057024
8000,0.31394765972574723,1.066986586469937,96.0,0.90713918262153,0.11568003280833442
