model_id,alpha,tag,score,mean_abs_mean_Z,mean_abs_var_minus_1,mean_abs_cov_minus_95
gg_1d,0.22,clt_fast_screen_20260417_075529_0p22,0.13321183664557412,0.04765840843619535,0.05222009487604451,0.3333333333333428
gg_1d,0.26,clt_fast_screen_20260417_075529_0p26,0.22124684315065551,0.05461523744373881,0.099964939040251,0.6666666666666572
gg_1d,0.24,clt_fast_screen_20260417_075529_0p24,0.2351405708341747,0.049627551442058146,0.08551301939211653,1.0
gg_1d,0.28,clt_fast_screen_20260417_075529_0p28,0.2816368848849087,0.052113065817266144,0.09619048573430827,1.3333333333333428
mm_1d,0.28,clt_fast_screen_20260417_075529_0p28,0.17789845452273556,0.0583064452791128,0.052925342576955636,0.6666666666666714
mm_1d,0.24,clt_fast_screen_20260417_075529_0p24,0.21352827192543106,0.051322439171418245,0.028872499420678543,1.3333333333333428
mm_1d,0.26,clt_fast_screen_20260417_075529_0p26,0.28976613324976974,0.0551781661479933,0.03458796710177503,2.000000000000014
mm_1d,0.22,clt_fast_screen_20260417_075529_0p22,0.3777661483280759,0.05254313612287215,0.0918896788718695,2.333333333333343
