label,model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise,Mh_to_d,f_hat,f_floor_hit,n_kernel_positive,p_kernel_positive,sum_kernel_weights,kernel_weight_ess,min_g1_hat,median_g1_hat,max_g1_hat,min_D_hat,q01_D_hat,median_D_hat,max_D_hat,n_D_floor_grid,p_D_floor_grid
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,1.2,1.206731358377608,1.1275077267748763,1200.0,0.3623372776955549,0,788,0.788,362.3372776955549,700.5160653375491,0.0065744920982472,0.176041000014683,0.3456950101358286,0.018144674873258,0.0205381509856426,0.48584843694332,0.9540696787656788,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.081,0.3102818510074092,0.2974256623483378,81.0,0.4072626006733062,0,60,0.06,407.2626006733062,53.21158554190002,0.0023360639227799,0.1523264272985834,0.3977730613145671,0.0057360138616162,0.0068921421784399,0.3740250812295311,0.976699212392568,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.106066017178,0.3519841258250169,0.3306324572921226,106.066017178,0.4103557485082761,0,88,0.088,410.3557485082762,72.45318493694118,0.0022575907845148,0.152427728536521,0.4014672817453428,0.005501545409615,0.0066213785823778,0.3714526458825685,0.9783396070476784,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.15,0.4086407515093393,0.3824527437304934,150.0,0.4280031970234503,0,140,0.14,428.0031970234503,109.29653645728084,0.0021889565026504,0.1572886593697803,0.4207509288789914,0.0051143461494528,0.0061692566630041,0.3674941226225526,0.98305557483006,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.212132034356,0.3029873506809668,0.3124486611624364,212.132034356,0.4371556547634322,0,185,0.185,437.15565476343227,156.0036928192764,0.0023398988835983,0.1627845589052917,0.430632614919801,0.0053525531652212,0.0064299978792169,0.3723720764709836,0.9850784502669622,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.3,0.1576724598223267,0.186474238974473,300.0,0.4292409030004347,0,256,0.256,429.24090300043474,213.0999155830564,0.0024813958742139,0.1630845257491439,0.423747427420606,0.0057808933325522,0.0069049732050796,0.3799370577434899,0.987201882342925,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.424264068712,0.1134101063699741,0.1010372894330572,424.264068712,0.4134993108815023,0,324,0.324,413.4993108815023,285.91258780403325,0.002452036138845,0.1604338392127184,0.4089242424154358,0.0059299642691491,0.0070704896904787,0.3879905842423385,0.988935728922224,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.6,0.065274236692931,0.081449869960139,600.0,0.3894300569119741,0,450,0.45,389.4300569119741,377.3270161183065,0.0025798710398387,0.1562273097271471,0.3841613907662279,0.0066247352869886,0.0078585632212964,0.4011691109976661,0.986470828195634,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,0.848528137424,0.5609194666193633,0.4903512980030559,848.528137424,0.3761255698350134,0,617,0.617,376.12556983501344,520.155506815869,0.0038257340891194,0.1604347990897562,0.3663034472013883,0.0101714278313957,0.0118102477145648,0.4265458452083717,0.973886054495222,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,6,2760304911,1.2,0.9899823854891414,1.0136010159460838,1200.0,0.3497906728272574,0,755,0.755,349.7906728272574,669.6531712371751,0.005732815522373,0.1634947734085177,0.3329789741464968,0.0163892749799082,0.0187071900880462,0.4674074699792206,0.9519378302889656,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.081,0.871699393836034,0.7392184626160554,81.0,0.3167534444709097,0,58,0.058,316.7534444709097,44.37490614827129,0.0009707066882184,0.1251585214128103,0.3211370093269686,0.0030645497473276,0.0037432890236217,0.3951291567542992,1.0138390440027605,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.106066017178,0.8070343737870211,0.6049447969592747,106.066017178,0.3407988866048337,0,75,0.075,340.79888660483374,62.966252774141935,0.0012165770200536,0.13549107262751,0.3462906806847979,0.0035697799138185,0.0043193806831348,0.3975690002315526,1.0161144718947748,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.15,0.6427397254195228,0.3877041193073162,150.0,0.3588795276856181,0,110,0.11,358.8795276856181,92.83506323646154,0.0016766721331739,0.1428695673002663,0.3637483294162443,0.0046719637199331,0.0055884203147312,0.3980989615696926,1.013566674482729,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.212132034356,0.4865588928411104,0.2948854870524576,212.132034356,0.36742881944229,0,156,0.156,367.42881944229,131.98856216127393,0.001824512673454,0.1463415834756787,0.3725994774153985,0.0049656221202881,0.0059247670152362,0.3982855337744235,1.014072543305005,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.3,0.3510342501141061,0.2410713594657274,300.0,0.3604334211284041,0,213,0.213,360.4334211284041,178.7216241043527,0.0017496199408679,0.1419542024989744,0.3653848520575239,0.0048542111755076,0.0057998410732696,0.3938430627619388,1.0137374356507187,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.424264068712,0.385926938089093,0.2394589116547424,424.264068712,0.3666805791731418,0,321,0.321,366.6805791731418,262.0219683194533,0.0019244108510779,0.1470317563416257,0.3687578878938021,0.005248194096937,0.0062651121692068,0.4009804846310097,1.0056651724652137,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.6,0.3901123171074774,0.2919856612910917,600.0,0.3699552010198009,0,444,0.444,369.9552010198009,371.6370541544623,0.0026863166967318,0.1528662951974426,0.3670385331892475,0.0072611945698477,0.0085543641916872,0.4132021790099415,0.9921161594092652,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,7,2904491693,0.848528137424,0.446227237350536,0.4913100093340499,848.528137424,0.363350124661266,0,599,0.599,363.350124661266,508.9914051793755,0.0033698707095243,0.1573422695771152,0.3560520865221779,0.0092744448970974,0.0108422110219955,0.4330321056688722,0.9799145847386408,0,0.0
