method,M,mean_sup_err
lepski,1000,2.04125750948708
lepski,1500,3.297987489656858
lepski,2000,2.5440836464220697
lepski,3000,2.1056947030709217
lepski,4000,1.5372700785167566
lepski,6000,2.952984178987614
lepski,8000,2.0728664885973416
oracle,1000,0.6902773494350949
oracle,1500,0.5407492795594536
oracle,2000,0.5521954739803729
oracle,3000,0.5262286297169531
oracle,4000,0.4537312192483382
oracle,6000,0.37039955315632367
oracle,8000,0.36596356239478567
