method,M,mean_sup_err
lepski,1000,0.23372964818914163
lepski,2000,0.24858816018389346
lepski,4000,0.18709442502404974
oracle,1000,0.1438550213110326
oracle,2000,0.13278200173027507
oracle,4000,0.11759649951746012
