method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.34346009165665004,1.9617929212356942,0.0,0.3876768328033676,0.005878832952922509
lepski,2000,0.3291358223314,1.6619995634109839,0.0,0.39361533102485124,0.007107211882951293
lepski,4000,0.2450825214725,1.775324299502169,0.0,0.40096390915584995,0.006558685528753529
oracle,1000,0.324099025767,1.0,0.0,0.39261408588943286,0.0061689485016256165
oracle,2000,0.28269960742345,1.0,0.0,0.38416388477404334,0.0065892046602091265
oracle,4000,0.2210844154602,1.0,0.0,0.3952948320704669,0.006430423329813214
