method,M,mean_ise
lepski,1000,0.21922703059416154
lepski,2000,0.2048868318038873
lepski,4000,0.1655055336849417
oracle,1000,0.13090380574397179
oracle,2000,0.13091625674597002
oracle,4000,0.11242738610334937
