method,M,mean_sup_err
lepski,1000,0.4465360611537908
lepski,2000,0.6381223789702567
lepski,4000,0.7747626494810586
oracle,1000,0.2019591727258375
oracle,2000,0.22784616798975707
oracle,4000,0.1466773747220709
