method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.53235727791425,2.2624879939066935,0.0,0.28927502503295527,0.30327186713791987
lepski,2000,0.36382332233139997,3.672941867087662,0.0,0.2937659496474316,0.2357326956323999
lepski,4000,0.3221344863652,6.270708980058174,0.05,0.27795891475888024,0.27289554339297606
oracle,1000,0.2488674240492,1.0,0.05,0.3005719059343504,0.29166628836299974
oracle,2000,0.2525825214725,1.0,0.0,0.3053677805300955,0.2886335125739778
oracle,4000,0.19900842119635,1.0,0.0,0.29020899935672595,0.29972923879246954
