method,M,mean_ise
lepski,1000,0.46690613000215286
lepski,2000,0.7183495016512289
lepski,4000,0.9404964454917779
oracle,1000,0.21873108893597992
oracle,2000,0.2446733815434426
oracle,4000,0.17064891366612117
