method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.4691174240492,2.4749648325880225,0.0,0.291827935292446,0.28385293556422875
lepski,2000,0.30382667046025,3.4755133745915843,0.0,0.29721303825951134,0.235735996882329
lepski,4000,0.3373457958131,6.419190194795957,0.05,0.27822928335065744,0.26962193164188475
oracle,1000,0.2488674240492,1.0,0.05,0.3005719059343504,0.29166628836299974
oracle,2000,0.2525825214725,1.0,0.0,0.3053677805300955,0.2886335125739778
oracle,4000,0.19900842119635,1.0,0.0,0.29020899935672595,0.29972923879246954
