method,M,mean_sup_err
lepski,1000,0.24406479498467581
lepski,2000,0.22231554762360134
lepski,4000,0.19637970624035334
lepski,8000,0.13894866819693028
oracle,1000,0.16205408726454068
oracle,2000,0.14337340237525267
oracle,4000,0.1139621812621114
oracle,8000,0.07812653541686822
