method,M,mean_ise
lepski,1000,0.1878936109400448
lepski,2000,0.2230816032494968
lepski,4000,0.18979661649802476
oracle,1000,0.13090380574397179
oracle,2000,0.13091625674597002
oracle,4000,0.11242738610334937
