M,mean_Z,var_Z,coverage_95,mean_sigma_hat,mean_h,shapiro_W,shapiro_p,anderson_stat,anderson_crit_5pct,anderson_reject_5pct
1000,0.049613641039628835,0.9858241542155746,94.33333333333334,0.9194588517435653,0.19054607179632474,0.9848971133051149,0.003042004267316938,1.316861491663019,0.75,1
2000,-0.01057937362918019,1.1034814345321906,94.33333333333334,0.909212007665941,0.1613439930826315,0.9980261978481508,0.9789962496248218,0.1675702291613561,0.75,0
4000,0.0128352627992239,1.1363576183502975,93.33333333333333,0.9015899250331749,0.13661726982057026,0.9946252951948801,0.37524776912526026,0.4571545664627479,0.75,0
8000,-0.04654551472585058,1.0030037891918286,95.66666666666667,0.8977464490983359,0.11568003280833442,0.9925483610375604,0.13897539987343444,0.8371828834200414,0.75,1
